agent,wins,losses,elo
2023_Nov_01_03_09_10_819920,72,28,96
2023_Nov_01_11_00_33_303536,69,31,82
2023_Nov_01_19_26_26_009672,74,26,106
2023_Nov_02_03_27_16_919355,68,32,78
2023_Nov_02_11_30_39_819877,77,23,121
2023_Nov_02_19_32_03_894107,80,20,136
2023_Nov_03_03_32_13_192484,76,24,116
2023_Nov_03_11_35_14_819826,64,36,60
2023_Nov_03_19_38_30_581745,74,26,106
2023_Nov_04_03_41_21_041126,79,21,131
2023_Nov_04_13_40_41_271901,60,40,43
2023_Nov_04_13_40_51_182192,62,38,51
2023_Nov_04_21_42_49_476729,76,24,116
2023_Nov_05_05_45_50_408931,75,25,111
2023_Nov_05_13_48_02_048389,75,25,111
2023_Nov_05_13_48_19_619829,80,20,136
2023_Nov_05_21_51_57_267698,79,21,131
2023_Nov_06_05_55_42_651463,66,34,69
2023_Nov_06_18_03_31_229358,75,25,111
2023_Nov_07_02_05_57_788062,63,37,56
2023_Nov_07_10_08_48_798939,75,25,111
2023_Nov_07_18_11_57_164039,74,26,106
2023_Nov_08_03_49_11_124318,82,18,148
2023_Nov_08_11_52_49_217019,72,28,96
2023_Nov_08_19_53_20_072913,77,23,121
2023_Nov_09_03_56_38_556495,78,22,126
2023_Nov_09_11_57_19_208424,75,25,111
2023_Nov_09_20_00_33_399850,78,22,126
2023_Nov_10_04_01_29_028599,76,24,116
2023_Oct_30_00_00_00_000000,49,51,-4
2023_Oct_30_16_13_13_023185,78,22,126
2023_Oct_31_00_16_14_249769,78,22,126
2023_Oct_31_08_16_22_237398,69,31,82
2023_Oct_31_16_17_25_882445,78,22,126
